Name,Montesinos fraction
"[K12a146(0,0)]","[(0, 1), (1, 2), (2, 3), (1, 7)]"
"[K12a147(0,0)]","[(0, 1), (1, 2), (2, 3), (3, 13)]"
"[K12a148(0,0)]","[(0, 1), (1, 2), (2, 3), (7, 17)]"
"[K12a149(0,0)]","[(0, 1), (1, 2), (2, 3), (18, 13)]"
"[K12a151(0,0)]","[(0, 1), (1, 2), (2, 3), (14, 9)]"
"[K12a152(0,0)]","[(0, 1), (1, 2), (2, 3), (6, 11)]"
"[K12a153(0,0)]","[(0, 1), (1, 2), (2, 3), (5, 11)]"
"[K12a157(0,0)]","[(0, 1), (1, 2), (2, 3), (3, 5), (1, 3)]"
"[K12a158(0,0)]","[(0, 1), (1, 2), (2, 3), (14, 5)]"
"[K12a159(0,0)]","[(0, 1), (1, 2), (2, 3), (18, 7)]"
"[K12a16(0,0)]","[(0, 1), (1, 2), (3, 5), (8, 11)]"
"[K12a160(0,0)]","[(0, 1), (1, 2), (2, 3), (11, 5)]"
"[K12a161(0,0)]","[(0, 1), (1, 2), (2, 3), (17, 7)]"
"[K12a164(0,0)]","[(0, 1), (1, 2), (2, 3), (2, 3), (4, 3)]"
"[K12a165(0,0)]","[(0, 1), (1, 2), (2, 3), (14, 3)]"
"[K12a166(0,0)]","[(0, 1), (1, 2), (2, 3), (1, 3), (5, 3)]"
"[K12a167(0,0)]","[(0, 1), (1, 2), (2, 3), (1, 3), (4, 3)]"
"[K12a168(0,0)]","[(0, 1), (1, 2), (2, 3), (13, 3)]"
"[K12a17(0,0)]","[(0, 1), (1, 2), (3, 5), (8, 13)]"
"[K12a170(0,0)]","[(0, 1), (1, 2), (2, 5), (8, 11)]"
"[K12a171(0,0)]","[(0, 1), (1, 2), (2, 5), (8, 13)]"
"[K12a172(0,0)]","[(0, 1), (1, 2), (2, 5), (3, 11)]"
"[K12a173(0,0)]","[(0, 1), (1, 2), (2, 5), (7, 11)]"
"[K12a174(0,0)]","[(0, 1), (1, 2), (2, 5), (5, 13)]"
"[K12a175(0,0)]","[(0, 1), (1, 2), (2, 5), (12, 7)]"
"[K12a176(0,0)]","[(0, 1), (1, 2), (2, 5), (5, 9)]"
"[K12a178(0,0)]","[(0, 1), (1, 2), (2, 5), (4, 11)]"
"[K12a179(0,0)]","[(0, 1), (1, 2), (2, 5), (9, 5)]"
"[K12a18(0,0)]","[(0, 1), (1, 2), (3, 5), (3, 11)]"
"[K12a180(0,0)]","[(0, 1), (1, 2), (2, 5), (11, 7)]"
"[K12a181(0,0)]","[(0, 1), (1, 2), (2, 5), (12, 5)]"
"[K12a182(0,0)]","[(0, 1), (1, 2), (1, 3), (2, 3), (2, 5)]"
"[K12a183(0,0)]","[(0, 1), (1, 2), (2, 5), (4, 9)]"
"[K12a19(0,0)]","[(0, 1), (1, 2), (3, 5), (7, 11)]"
"[K12a193(0,0)]","[(0, 1), (1, 2), (2, 5), (6, 5)]"
"[K12a194(0,0)]","[(0, 1), (1, 2), (2, 5), (10, 7)]"
"[K12a195(0,0)]","[(0, 1), (1, 2), (1, 3), (1, 3), (2, 5)]"
"[K12a196(0,0)]","[(0, 1), (1, 2), (1, 3), (17, 5)]"
"[K12a20(0,0)]","[(0, 1), (1, 2), (3, 5), (5, 13)]"
"[K12a203(0,0)]","[(0, 1), (1, 2), (1, 3), (13, 21)]"
"[K12a205(0,0)]","[(0, 1), (1, 2), (1, 3), (14, 11)]"
"[K12a208(0,0)]","[(0, 1), (2, 3), (2, 3), (9, 7)]"
"[K12a21(0,0)]","[(0, 1), (1, 2), (3, 5), (12, 7)]"
"[K12a210(0,0)]","[(0, 1), (1, 2), (5, 7), (5, 7)]"
"[K12a212(0,0)]","[(0, 1), (1, 2), (5, 7), (2, 7)]"
"[K12a215(0,0)]","[(0, 1), (3, 5), (3, 5), (3, 4)]"
"[K12a216(0,0)]","[(0, 1), (3, 5), (2, 5), (1, 4)]"
"[K12a217(0,0)]","[(0, 1), (2, 3), (3, 5), (3, 8)]"
"[K12a218(0,0)]","[(0, 1), (3, 5), (2, 5), (3, 4)]"
"[K12a219(0,0)]","[(0, 1), (2, 3), (3, 5), (7, 4)]"
"[K12a22(0,0)]","[(0, 1), (1, 2), (3, 5), (5, 9)]"
"[K12a220(0,0)]","[(0, 1), (1, 3), (3, 5), (5, 8)]"
"[K12a225(0,0)]","[(0, 1), (2, 3), (3, 5), (5, 8)]"
