Name,Montesinos?,Montesinos fraction
11n_19,Y,"[1/2, -3/5, 1/5]"
11n_20,Y,"[1/2, -3/5, 3/7]"
11n_21,N,n/a
11n_22,N,n/a
11n_23,N,n/a
11n_24,N,n/a
11n_25,N,n/a
11n_26,N,n/a
11n_27,N,n/a
11n_28,Y,"[1/2, 2/3, -7/9]"
11n_29,Y,"[1/2, 2/3, -2/9]"
11n_30,Y,"[1/2, -2/3, 7/9]"
11n_31,N,n/a
11n_32,N,n/a
11n_33,N,n/a
11n_34,N,n/a
11n_35,N,n/a
11n_36,N,n/a
11n_37,N,n/a
11n_38,Y,"[1/2, -2/3, 2/9]"
11n_39,N,n/a
11n_40,N,n/a
11n_41,N,n/a
11n_42,N,n/a
11n_43,N,n/a
11n_44,N,n/a
11n_45,N,n/a
11n_46,N,n/a
11n_47,N,n/a
11n_48,Y,"[2/3, -2/5, -3/4]"
11n_49,Y,"[2/3, -2/5, -1/4]"
11n_50,Y,"[2/3, -3/5, -2/5]"
11n_51,Y,"[1/2, 2/3, -8/11]"
11n_52,Y,"[1/2, 2/3, -3/11]"
11n_53,Y,"[1/2, -2/3, 8/11]"
11n_54,Y,"[1/2, 2/3, -8/13]"
11n_55,Y,"[1/2, 2/3, -5/13]"
11n_56,Y,"[1/2, -2/3, 8/13]"
11n_57,Y,"[1/2, -2/3, 3/11]"
11n_58,Y,"[1/2, 2/3, -7/11]"
11n_59,Y,"[1/2, 2/3, -4/11]"
11n_60,Y,"[1/2, -2/3, 7/11]"
11n_61,Y,"[1/2, -2/3, 5/13]"
11n_62,Y,"[1/2, 2/3, -5/9]"
11n_63,Y,"[1/2, 2/3, -4/9]"
11n_64,Y,"[1/2, -2/3, 5/9]"
11n_65,N,n/a
11n_66,N,n/a
11n_67,N,n/a
11n_68,N,n/a
11n_69,N,n/a
11n_70,Y,"[1/2, -2/3, 4/11]"
11n_71,Y,"[1/2, 2/3, -2/3, 2/3]"
11n_72,Y,"[1/2, 2/3, 2/3, -1/3]"
11n_73,Y,"[1/2, 2/3, -2/3, -2/3]"
11n_74,Y,"[1/2, 2/3, -2/3, -1/3]"
11n_75,Y,"[1/2, 2/3, 2/3, -2/3]"
11n_76,Y,"[1/2, 2/3, -2/3, 1/3]"
11n_77,Y,"[1/2, 2/3, -1/3, -1/3]"
11n_78,Y,"[1/2, -2/3, 2/3, 1/3]"
11n_79,Y,"[1/2, -2/3, 4/9]"
11n_80,N,n/a
11n_81,Y,"[1/2, -2/3, 1/3, 1/3]"
11n_82,Y,"[2/3, -3/5, 1/4]"
11n_83,Y,"[2/3, -3/5, 3/4]"
11n_84,Y,"[2/3, -3/5, 2/5]"
11n_85,Y,"[2/3, -2/3, 5/8]"
11n_86,N,n/a
11n_87,Y,"[2/3, 2/3, -5/8]"
11n_88,Y,"[2/3, -3/5, -1/4]"
11n_89,Y,"[2/3, 3/5, -1/4]"
11n_90,Y,"[2/3, -3/5, -3/4]"
11n_91,Y,"[2/3, 3/5, -3/4]"
11n_92,N,n/a
11n_93,N,n/a
11n_94,N,n/a
11n_95,N,n/a
11n_96,N,n/a
11n_97,N,n/a
11n_98,N,n/a
11n_99,N,n/a
11n_100,Y,"[2/3, -2/3, 5/7]"
11n_101,Y,"[2/3, 2/3, -5/7]"
11n_102,Y,"[2/3, -1/3, -2/7]"
11n_103,Y,"[2/3, 3/5, -2/5]"
11n_104,Y,"[2/3, -1/3, -3/8]"
11n_105,Y,"[2/3, 2/3, -3/8]"
11n_106,Y,"[2/3, -2/3, 3/8]"
11n_107,Y,"[2/3, -1/3, -5/8]"
11n_108,N,n/a
11n_109,N,n/a
11n_110,N,n/a
11n_111,N,n/a
11n_112,N,n/a
11n_113,N,n/a
11n_114,N,n/a
11n_115,N,n/a
11n_116,N,n/a
11n_117,N,n/a
11n_118,N,n/a
11n_119,N,n/a
11n_120,N,n/a
11n_121,N,n/a
11n_122,Y,"[2/3, -2/3, 3/7]"
11n_123,N,n/a
11n_124,N,n/a
11n_125,N,n/a
11n_126,N,n/a
11n_127,N,n/a
11n_128,N,n/a
11n_129,N,n/a
11n_130,N,n/a
11n_131,N,n/a
11n_132,N,n/a
11n_133,N,n/a
11n_134,N,n/a
11n_135,N,n/a
11n_136,N,n/a
11n_137,Y,"[2/3, 2/3, -3/7]"
11n_138,Y,"[2/3, -1/3, -4/7]"
11n_139,Y,"[2/3, -2/3, 1/5]"
11n_140,Y,"[2/3, 2/3, -1/5]"
11n_141,Y,"[2/3, -1/3, -4/5]"
11n_142,N,n/a
11n_143,N,n/a
11n_144,N,n/a
11n_145,N,n/a
11n_146,N,n/a
11n_147,N,n/a
11n_148,N,n/a
11n_149,N,n/a
11n_150,N,n/a
11n_151,N,n/a
11n_152,N,n/a
11n_153,N,n/a
11n_154,N,n/a
11n_155,N,n/a
11n_156,N,n/a
11n_157,N,n/a
11n_158,N,n/a
11n_159,N,n/a
11n_160,N,n/a
11n_161,N,n/a
11n_162,N,n/a
11n_163,N,n/a
11n_164,N,n/a
11n_165,N,n/a
11n_166,N,n/a
11n_167,N,n/a
11n_168,N,n/a
11n_169,N,n/a
11n_170,N,n/a
11n_171,N,n/a
11n_172,N,n/a
11n_173,N,n/a
11n_174,N,n/a
11n_175,N,n/a
11n_176,N,n/a
11n_177,N,n/a
11n_178,N,n/a
11n_179,N,n/a
11n_180,N,n/a
11n_181,N,n/a
11n_182,N,n/a
11n_183,N,n/a
11n_184,N,n/a
11n_185,N,n/a
12a_1,N,n/a
12a_2,N,n/a
12a_3,Y,"[1/2, 3/5, 7/9]"
12a_4,N,n/a
12a_5,N,n/a
12a_6,N,n/a
12a_7,N,n/a
12a_8,N,n/a
12a_9,Y,"[1/2, 3/5, 2/9]"
12a_10,N,n/a
12a_11,N,n/a
12a_12,Y,"[1/2, 3/5, 9/7]"
12a_13,N,n/a
12a_14,N,n/a
12a_15,N,n/a
12a_16,Y,"[1/2, 3/5, 8/11]"
12a_17,Y,"[1/2, 3/5, 8/13]"
12a_18,Y,"[1/2, 3/5, 3/11]"
12a_19,Y,"[1/2, 3/5, 7/11]"
12a_20,Y,"[1/2, 3/5, 5/13]"
12a_21,Y,"[1/2, 3/5, 12/7]"
12a_22,Y,"[1/2, 3/5, 5/9]"
12a_23,N,n/a
12a_24,Y,"[1/2, 3/5, 4/11]"
12a_25,Y,"[1/2, 3/5, 13/5]"
12a_26,Y,"[1/2, 3/5, 9/5]"
12a_27,Y,"[1/2, 3/5, 11/7]"
12a_28,Y,"[1/2, 3/5, 12/5]"
12a_29,Y,"[1/2, 2/3, 2/3, 3/5]"
12a_30,Y,"[1/2, 1/3, 2/3, 3/5]"
12a_31,Y,"[1/2, 3/5, 4/9]"
12a_32,Y,"[1/2, 2/3, 18/5]"
12a_33,Y,"[1/2, 2/3, 1/3, 3/5]"
12a_34,Y,"[1/2, 3/5, 6/5]"
12a_35,Y,"[1/2, 3/5, 10/7]"
12a_36,Y,"[1/2, 1/3, 1/3, 3/5]"
12a_37,Y,"[1/2, 1/3, 18/5]"
12a_38,N,n/a
12a_39,N,n/a
12a_40,N,n/a
12a_41,N,n/a
12a_42,Y,"[1/2, 2/3, 9/11]"
12a_43,N,n/a
12a_44,N,n/a
12a_45,N,n/a
12a_46,N,n/a
12a_47,N,n/a
12a_48,N,n/a
12a_49,N,n/a
12a_50,N,n/a
12a_51,N,n/a
12a_52,N,n/a
12a_53,N,n/a
12a_54,N,n/a
12a_55,N,n/a
12a_56,Y,"[1/2, 2/3, 2/11]"
12a_57,N,n/a
12a_58,N,n/a
12a_59,N,n/a
12a_60,N,n/a
12a_61,N,n/a
12a_62,Y,"[1/2, 2/3, 11/9]"
12a_63,N,n/a
12a_64,N,n/a
12a_65,N,n/a
12a_66,N,n/a
12a_67,N,n/a
12a_68,N,n/a
12a_69,N,n/a
12a_70,N,n/a
12a_71,N,n/a
12a_72,N,n/a
12a_73,N,n/a
12a_74,N,n/a
12a_75,N,n/a
12a_76,N,n/a
12a_77,Y,"[1/2, 2/3, 13/21]"
12a_78,Y,"[1/2, 2/3, 5/17]"
12a_79,N,n/a
12a_80,N,n/a
12a_81,Y,"[1/2, 2/3, 16/9]"
12a_82,Y,"[1/2, 2/3, 12/17]"
