Name,Unknotting,Genus,Bridge,Nakanishi,Tunnel,Symmetry type,Symmetry group,Montesinos?,Montesinos fractions
11a_187,1,3,3,1,2,chiral,Z2,Y,"['2/3', '1/3', '8/5']"
11a_188,2,3,2,1,1,reversible,D2,N,['n/a']
11a_189,1,4,3,1,2,chiral,1,N,['n/a']
11a_190,1,3,2,1,1,reversible,D2,N,['n/a']
11a_191,3,3,2,1,1,reversible,D2,N,['n/a']
11a_192,[2; 3],2,2,"[1, 2]",1,reversible,D2,N,['n/a']
11a_193,2,3,2,1,1,reversible,D2,N,['n/a']
11a_194,2,4,3,1,2,reversible,D2,Y,"['1/3', '1/3', '5/8']"
11a_195,1,2,2,1,1,reversible,D2,N,['n/a']
11a_196,2,4,3,2,2,reversible,D1,N,['n/a']
11a_197,[2; 3],3,3,"[1, 2]",2,reversible,D1,N,['n/a']
11a_198,1,3,3,1,2,reversible,D2,Y,"['1/3', '3/5', '3/5']"
11a_199,2,3,3,1,2,chiral,Z2,Y,"['2/3', '1/3', '4/7']"
11a_200,2,2,3,"[1, 2]",2,reversible,D2,Y,"['1/3', '2/5', '2/5']"
11a_201,2,2,3,1,2,chiral,Z2,Y,"['2/3', '1/3', '4/5']"
11a_202,[2; 3],3,3,1,2,reversible,D2,Y,"['2/3', '2/3', '3/7']"
11a_203,3,4,2,1,1,reversible,D2,N,['n/a']
11a_204,2,3,2,1,1,reversible,D2,N,['n/a']
11a_205,2,3,2,1,1,reversible,D2,N,['n/a']
11a_206,3,4,2,1,1,reversible,D2,N,['n/a']
11a_207,2,3,2,"[1, 2]",1,reversible,D2,N,['n/a']
11a_208,2,3,2,"[1, 2]",1,reversible,D2,N,['n/a']
11a_209,1,3,3,1,2,chiral,1,N,['n/a']
11a_210,1,2,2,"[1, 2]",1,reversible,D2,N,['n/a']
11a_211,2,2,2,"[1, 2]",1,reversible,D2,N,['n/a']
11a_212,2,3,3,1,2,reversible,D1,N,['n/a']
11a_213,2,3,3,1,2,chiral,1,N,['n/a']
11a_214,2,2,3,1,2,reversible,D2,Y,"['2/3', '2/3', '1/5']"
11a_215,2,4,3,"[1, 2]",2,reversible,D1,N,['n/a']
11a_216,1,4,3,1,2,chiral,1,N,['n/a']
11a_217,2,4,3,1,2,chiral,1,N,['n/a']
